date,store_id,sku_id,sku_name,category,unit_price,units_sold,revenue,promo_flag
2025-03-01,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,88,33440.0,0
2025-03-02,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,83,31540.0,0
2025-03-03,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,94,35720.0,1
2025-03-04,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,87,33060.0,0
2025-03-05,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,78,29640.0,0
2025-03-06,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,85,32300.0,0
2025-03-07,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,78,29640.0,0
2025-03-08,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,104,39520.0,0
2025-03-09,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,95,36100.0,0
2025-03-10,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,75,28500.0,0
2025-03-11,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,80,30400.0,0
2025-03-12,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,105,39900.0,1
2025-03-13,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,76,28880.0,0
2025-03-14,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,72,27360.0,0
2025-03-15,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,86,32680.0,0
2025-03-16,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,80,30400.0,0
2025-03-17,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,64,24320.0,0
2025-03-18,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,81,30780.0,1
2025-03-19,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,68,25840.0,0
2025-03-20,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,62,23560.0,0
2025-03-21,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,62,23560.0,0
2025-03-22,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,73,27740.0,0
2025-03-23,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,65,24700.0,0
2025-03-24,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,63,23940.0,0
2025-03-25,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,73,27740.0,0
2025-03-26,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,60,22800.0,0
2025-03-27,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,71,26980.0,0
2025-03-28,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,74,28120.0,0
2025-03-29,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,90,34200.0,0
2025-03-30,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,84,31920.0,0
2025-03-31,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,75,28500.0,0
2025-04-01,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,73,27740.0,0
2025-04-02,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,80,30400.0,0
2025-04-03,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,89,33820.0,0
2025-04-04,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,79,30020.0,0
2025-04-05,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,85,32300.0,0
2025-04-06,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,98,37240.0,0
2025-04-07,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,87,33060.0,0
2025-04-08,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,79,30020.0,0
2025-04-09,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,88,33440.0,0
2025-04-10,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,76,28880.0,0
2025-04-11,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,74,28120.0,0
2025-04-12,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,79,30020.0,0
2025-04-13,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,80,30400.0,0
2025-04-14,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,71,26980.0,0
2025-04-15,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,69,26220.0,0
2025-04-16,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,69,26220.0,0
2025-04-17,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,65,24700.0,0
2025-04-18,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,63,23940.0,0
2025-04-19,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,62,23560.0,0
2025-04-20,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,68,25840.0,0
2025-04-21,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,73,27740.0,0
2025-04-22,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,61,23180.0,0
2025-04-23,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,68,25840.0,0
2025-04-24,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,67,25460.0,0
2025-04-25,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,73,27740.0,0
2025-04-26,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,85,32300.0,0
2025-04-27,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,82,31160.0,0
2025-04-28,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,73,27740.0,0
2025-04-29,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,81,30780.0,0
2025-04-30,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,78,29640.0,0
2025-05-01,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,71,26980.0,0
2025-05-02,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,85,32300.0,0
2025-05-03,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,105,39900.0,0
2025-05-04,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,104,39520.0,0
2025-05-05,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,87,33060.0,0
2025-05-06,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,72,27360.0,0
2025-05-07,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,88,33440.0,0
2025-05-08,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,76,28880.0,0
2025-05-09,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,70,26600.0,0
2025-05-10,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,82,31160.0,0
2025-05-11,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,78,29640.0,0
2025-05-12,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,62,23560.0,0
2025-05-13,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,65,24700.0,0
2025-05-14,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,64,24320.0,0
2025-05-15,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,61,23180.0,0
2025-05-16,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,62,23560.0,0
2025-05-17,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,71,26980.0,0
2025-05-18,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,69,26220.0,0
2025-05-19,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,60,22800.0,0
2025-05-20,STR-DEMO-01,SKU-D001,Filter Coffee 250g,Beverages,380.0,66,25080.0,0
